deal_id,rep_name,territory,motion,stage,ARR,close_date,days_in_stage,risk_flag,past_stage_sla,high_discount,low_engagement
D1041,Casey Patel,West,Expansion,Prospect,61000,2026-08-04,45,False,False,False,False
D1042,Casey Patel,West,New,Qualified,63000,2026-10-20,4,True,False,True,False
D1043,Casey Patel,West,Expansion,Proposal,60000,2026-06-08,52,True,True,False,False
D1044,Casey Patel,West,Expansion,Negotiation,23000,2026-08-25,30,True,False,True,True
D1045,Casey Patel,West,Renewal,Qualified,56000,2026-06-04,8,True,False,True,False
D1046,Casey Patel,West,Expansion,Proposal,57000,2026-09-07,46,True,True,False,False
D1047,Casey Patel,West,New,Proposal,30000,2026-10-19,44,True,False,True,False
D1048,Casey Patel,West,Renewal,Demo,37000,2026-07-22,58,True,True,False,False
D1049,Casey Patel,West,Expansion,Negotiation,46000,2026-11-11,17,True,False,True,False
D1050,Casey Patel,West,Renewal,Proposal,140000,2026-06-19,50,True,True,True,False
D1051,Casey Patel,West,New,Negotiation,45000,2026-07-01,36,False,False,False,False
D1052,Casey Patel,West,Expansion,Proposal,75000,2026-06-04,50,True,True,True,False
D1053,Casey Patel,West,New,Proposal,100000,2026-07-27,14,False,False,False,False
D1054,Casey Patel,West,Renewal,Proposal,89000,2026-08-10,18,False,False,False,False
D1055,Drew Nguyen,East,Renewal,Negotiation,104000,2026-08-17,17,False,False,False,False
D1056,Drew Nguyen,East,Renewal,Proposal,129000,2026-11-11,49,True,True,True,False
D1057,Drew Nguyen,East,Expansion,Qualified,17000,2026-10-19,12,True,False,False,True
D1058,Drew Nguyen,East,Renewal,Negotiation,97000,2026-06-27,10,True,False,True,True
D1059,Drew Nguyen,East,New,Prospect,67000,2026-06-10,42,True,False,True,True
D1060,Drew Nguyen,East,Renewal,Proposal,87000,2026-10-15,41,False,False,False,False
D1061,Drew Nguyen,East,New,Negotiation,87000,2026-10-23,47,True,True,True,False
D1062,Drew Nguyen,East,New,Qualified,57000,2026-09-18,15,True,False,False,True
D1063,Quinn Walsh,Federal,New,Demo,186000,2026-10-30,31,True,False,False,True
D1064,Quinn Walsh,Federal,Expansion,Negotiation,17000,2026-06-17,41,False,False,False,False
D1065,Quinn Walsh,Federal,New,Negotiation,74000,2026-09-07,48,True,True,False,False
D1066,Quinn Walsh,Federal,New,Qualified,159000,2026-08-31,49,True,True,False,False
D1067,Quinn Walsh,Federal,New,Demo,160000,2026-09-25,23,True,False,False,True
D1068,Quinn Walsh,Federal,Expansion,Demo,54000,2026-08-10,10,False,False,False,False
D1069,Quinn Walsh,Federal,Expansion,Demo,61000,2026-08-13,20,False,False,False,False
D1070,Quinn Walsh,Federal,Expansion,Negotiation,36000,2026-11-03,40,False,False,False,False
D1071,Quinn Walsh,Federal,Renewal,Demo,144000,2026-08-23,51,True,True,False,False
D1072,Quinn Walsh,Federal,Expansion,Proposal,55000,2026-07-19,5,False,False,False,False
D1073,Quinn Walsh,Federal,New,Proposal,108000,2026-11-04,51,True,True,False,True
D1074,Quinn Walsh,Federal,Expansion,Proposal,19000,2026-06-15,35,True,False,False,True
D1075,Avery Brooks,East,New,Negotiation,192000,2026-09-09,24,False,False,False,False
D1076,Avery Brooks,East,Renewal,Negotiation,31000,2026-10-01,15,True,False,True,False
D1077,Avery Brooks,East,Expansion,Qualified,51000,2026-09-05,8,False,False,False,False
D1078,Avery Brooks,East,Renewal,Demo,114000,2026-11-04,46,True,True,False,False
D1079,Avery Brooks,East,Renewal,Negotiation,123000,2026-06-21,50,True,True,True,True
D1080,Avery Brooks,East,Renewal,Proposal,114000,2026-11-04,25,False,False,False,False
D1081,Avery Brooks,East,New,Negotiation,158000,2026-10-08,49,True,True,False,False
D1082,Avery Brooks,East,Renewal,Demo,60000,2026-11-11,10,False,False,False,False
D1083,Avery Brooks,East,Renewal,Demo,39000,2026-10-03,8,False,False,False,False
D1084,Avery Brooks,East,New,Proposal,128000,2026-06-24,29,False,False,False,False
D1085,Avery Brooks,East,Renewal,Negotiation,68000,2026-06-21,26,False,False,False,False
D1086,Avery Brooks,East,Renewal,Qualified,82000,2026-06-06,35,True,False,True,False
D1087,Avery Brooks,East,New,Negotiation,141000,2026-07-21,26,False,False,False,False
D1088,Avery Brooks,East,New,Demo,110000,2026-10-04,55,True,True,True,False
D1089,Avery Brooks,East,Expansion,Negotiation,64000,2026-07-19,41,True,False,False,True
D1090,Reese Torres,Enterprise,Expansion,Proposal,79000,2026-09-19,9,True,False,True,False
D1091,Reese Torres,Enterprise,Renewal,Prospect,51000,2026-08-17,15,False,False,False,False
D1092,Reese Torres,Enterprise,Renewal,Negotiation,38000,2026-09-20,18,True,False,True,True
D1093,Reese Torres,Enterprise,Renewal,Prospect,126000,2026-11-14,36,False,False,False,False
D1094,Reese Torres,Enterprise,New,Prospect,163000,2026-10-15,40,False,False,False,False
D1095,Reese Torres,Enterprise,Renewal,Proposal,126000,2026-08-15,50,True,True,False,True
D1096,Reese Torres,Enterprise,Expansion,Demo,12000,2026-10-05,32,False,False,False,False
D1097,Reese Torres,Enterprise,New,Qualified,165000,2026-06-10,44,False,False,False,False
D1098,Reese Torres,Enterprise,New,Negotiation,50000,2026-09-12,45,True,False,True,False
D1099,Reese Torres,Enterprise,New,Prospect,55000,2026-08-18,53,True,True,True,True
D1100,Reese Torres,Enterprise,Expansion,Qualified,59000,2026-11-14,23,False,False,False,False
D1101,Reese Torres,Enterprise,Expansion,Proposal,71000,2026-08-15,34,False,False,False,False
D1102,Reese Torres,Enterprise,Expansion,Proposal,20000,2026-09-27,32,False,False,False,False
D1103,Blake Okafor,West,New,Demo,42000,2026-08-08,41,True,False,False,True
D1104,Blake Okafor,West,Renewal,Qualified,143000,2026-06-16,17,False,False,False,False
D1105,Blake Okafor,West,Renewal,Proposal,59000,2026-08-10,58,True,True,False,False
D1106,Blake Okafor,West,Expansion,Proposal,52000,2026-11-04,19,False,False,False,False
D1107,Blake Okafor,West,New,Qualified,21000,2026-09-06,6,False,False,False,False
D1108,Blake Okafor,West,Renewal,Proposal,96000,2026-09-13,39,False,False,False,False
D1109,Blake Okafor,West,Expansion,Demo,32000,2026-09-15,32,False,False,False,False
D1110,Blake Okafor,West,Expansion,Proposal,49000,2026-06-22,53,True,True,False,False
D1111,Blake Okafor,West,Renewal,Proposal,139000,2026-07-24,15,False,False,False,False
D1112,Sam Hernandez,Enterprise,New,Prospect,36000,2026-10-22,52,True,True,True,False
D1113,Sam Hernandez,Enterprise,Expansion,Demo,44000,2026-10-03,11,True,False,False,True
D1114,Sam Hernandez,Enterprise,New,Negotiation,73000,2026-10-24,42,False,False,False,False
D1115,Sam Hernandez,Enterprise,New,Proposal,138000,2026-08-26,8,False,False,False,False
D1116,Sam Hernandez,Enterprise,Renewal,Proposal,67000,2026-07-23,26,False,False,False,False
D1117,Sam Hernandez,Enterprise,Renewal,Demo,140000,2026-07-27,38,False,False,False,False
D1118,Sam Hernandez,Enterprise,Renewal,Qualified,21000,2026-06-29,42,False,False,False,False
D1119,Sam Hernandez,Enterprise,Expansion,Proposal,24000,2026-10-15,50,True,True,True,False
D1120,Jamie Russo,Federal,Renewal,Demo,62000,2026-10-21,5,False,False,False,False
D1121,Jamie Russo,Federal,Expansion,Qualified,62000,2026-07-01,19,True,False,False,True
D1122,Jamie Russo,Federal,Renewal,Qualified,45000,2026-07-04,18,False,False,False,False
D1123,Jamie Russo,Federal,Expansion,Prospect,44000,2026-07-12,16,False,False,False,False
D1124,Jamie Russo,Federal,Expansion,Proposal,38000,2026-10-14,40,True,False,True,False
D1125,Jamie Russo,Federal,New,Demo,156000,2026-07-28,52,True,True,False,False
D1126,Jamie Russo,Federal,New,Proposal,142000,2026-08-02,51,True,True,False,False
D1127,Jamie Russo,Federal,Renewal,Negotiation,85000,2026-07-28,23,False,False,False,False
D1128,Jamie Russo,Federal,Expansion,Qualified,11000,2026-11-17,24,False,False,False,False
D1129,Jamie Russo,Federal,New,Demo,184000,2026-07-03,19,True,False,True,False
D1130,Jamie Russo,Federal,New,Demo,92000,2026-06-25,19,True,False,True,False
D1131,Jamie Russo,Federal,New,Proposal,125000,2026-09-16,32,False,False,False,False
D1132,Jamie Russo,Federal,New,Demo,197000,2026-09-19,45,False,False,False,False
D1133,Jamie Russo,Federal,Renewal,Proposal,137000,2026-10-26,28,True,False,True,False
D1134,Jamie Russo,Federal,New,Demo,135000,2026-11-11,33,False,False,False,False
